# Last run: 2026-03-20 11:55
#,Ticker,Name,Market Cap,Current Price,Fair Value,% vs Fair Value,Fair Price,% vs Fair Price,Score
1,NVDA,NVIDIA Corporation,4.34T,178.56,240.15,-25.6,194.12,-8.0,91
2,GOOG,Alphabet Inc.,3.70T,305.73,238.06,28.4,199.11,53.5,49
3,GOOGL,Alphabet Inc.,3.72T,307.13,237.95,29.1,198.45,54.8,49
4,AAPL,Apple Inc.,3.66T,248.96,161.2,54.4,191.83,29.8,40
5,MSFT,Microsoft Corporation,2.89T,389.02,439.39,-11.5,520.37,-25.2,73
6,AMZN,"Amazon.com, Inc.",2.24T,208.76,196.98,6.0,191.55,9.0,48
7,META,"Meta Platforms, Inc.",1.53T,606.7,681.06,-10.9,667.96,-9.2,67
8,AVGO,Broadcom Inc.,1.52T,319.84,298.34,7.2,232.47,37.6,49
9,TSLA,"Tesla, Inc.",1.43T,380.3,42.91,786.3,51.13,643.8,15
10,BRK-B,Berkshire Hathaway Inc. New,1.04T,481.48,449.34,7.2,359.47,33.9,42
11,WMT,Walmart Inc.,965.38B,121.09,58.09,108.5,59.67,102.9,10
12,LLY,Eli Lilly and Company,821.18B,917.5,835.55,9.8,961.68,-4.6,57
13,JPM,JP Morgan Chase & Co.,776.66B,287.97,362.56,-20.6,290.05,-0.7,76
14,XOM,Exxon Mobil Corporation,659.02B,158.16,149.01,6.1,167.74,-5.7,59
15,JNJ,Johnson & Johnson,572.59B,237.6,197.66,20.2,165.75,43.3,53
16,V,Visa Inc.,577.85B,299.71,230.7,29.9,276.84,8.3,53
17,MU,"Micron Technology, Inc.",500.03B,444.27,1232.09,-63.9,985.71,-54.9,100
18,ORCL,Oracle Corporation,447.28B,155.52,171.77,-9.5,159.33,-2.4,72
19,MA,Mastercard Incorporated,438.31B,491.14,410.03,19.8,492.04,-0.2,64
20,COST,Costco Wholesale Corporation,432.68B,974.78,385.62,152.8,479.52,103.3,28
21,CVX,Chevron Corporation,402.75B,201.44,155.48,29.6,165.44,21.8,56
22,NFLX,"Netflix, Inc.",389.15B,91.74,78.26,17.2,75.61,21.3,55
23,PLTR,Palantir Technologies Inc.,372.34B,155.68,39.21,297.0,34.3,353.9,30
24,ABBV,AbbVie Inc.,364.65B,206.23,73.01,182.5,51.9,297.4,26
25,BAC,Bank of America Corporation,343.29B,47.01,88.07,-46.6,70.46,-33.3,91
26,PG,Procter & Gamble Company (The),338.45B,144.84,100.8,43.7,109.44,32.3,48
27,AMD,"Advanced Micro Devices, Inc.",334.67B,205.27,159.76,28.5,195.34,5.1,49
28,HD,"Home Depot, Inc. (The)",326.74B,328.21,234.01,40.3,207.05,58.5,42
29,KO,Coca-Cola Company (The),324.99B,75.55,51.86,45.7,54.76,38.0,49
30,CAT,"Caterpillar, Inc.",322.27B,688.65,553.63,24.4,368.26,87.0,49
31,CSCO,"Cisco Systems, Inc.",310.20B,78.51,50.3,56.1,56.32,39.4,41
32,GE,GE Aerospace,307.59B,291.61,196.07,48.7,147.71,97.4,49
33,LRCX,Lam Research Corporation,293.90B,233.99,168.89,38.5,136.46,71.5,49
34,AMAT,"Applied Materials, Inc.",283.49B,357.21,266.79,33.9,214.47,66.6,49
35,MRK,"Merck & Company, Inc.",282.35B,114.2,118.07,-3.3,79.91,42.9,49
36,RTX,RTX Corporation,270.18B,200.73,94.6,112.2,88.17,127.7,26
37,UNH,UnitedHealth Group Incorporated,254.55B,280.44,296.76,-5.5,295.64,-5.1,65
38,PM,Philip Morris International Inc,254.31B,163.37,140.63,16.2,109.09,49.8,55
39,MS,Morgan Stanley,251.76B,158.55,191.03,-17.0,164.29,-3.5,79
40,GS,"Goldman Sachs Group, Inc. (The)",242.79B,809.5,1062.74,-23.8,850.19,-4.8,73
41,GEV,GE Vernova Inc.,238.05B,877.39,529.29,65.8,554.87,58.1,37
42,WFC,Wells Fargo & Company,239.79B,76.39,143.75,-46.9,115.0,-33.6,79
43,IBM,International Business Machines,234.95B,250.37,197.51,26.8,179.96,39.1,49
44,TMUS,"T-Mobile US, Inc.",231.07B,206.59,278.07,-25.7,82.66,149.9,49
45,LIN,Linde plc,226.97B,489.8,272.55,79.7,201.48,143.1,36
46,MCD,McDonald's Corporation,220.92B,309.58,210.6,47.0,149.4,107.2,39
47,PEP,"Pepsico, Inc.",208.85B,152.74,99.02,54.3,86.47,76.6,34
48,VZ,Verizon Communications Inc.,208.69B,49.48,66.69,-25.8,13.82,258.0,49
49,AXP,American Express Company,203.16B,294.93,362.5,-18.6,290.0,1.7,67
50,KLAC,KLA Corporation,198.60B,1511.52,936.67,61.4,740.9,104.0,43
51,T,AT&T Inc.,196.66B,27.74,59.58,-53.4,24.77,12.0,86
52,NEE,"NextEra Energy, Inc.",192.54B,92.41,59.54,55.2,4.11,2148.4,33
53,C,"Citigroup, Inc.",192.16B,109.85,257.68,-57.4,206.14,-46.7,85
54,AMGN,Amgen Inc.,188.63B,349.92,203.05,72.3,157.76,121.8,38
55,ABT,Abbott Laboratories,186.26B,107.19,72.12,48.6,83.01,29.1,48
56,CRM,"Salesforce, Inc.",182.71B,194.99,159.79,22.0,179.96,8.4,58
57,DIS,Walt Disney Company (The),175.92B,99.2,137.61,-27.9,85.36,16.2,79
58,GILD,"Gilead Sciences, Inc.",175.18B,141.11,123.97,13.8,86.35,63.4,49
59,TMO,Thermo Fisher Scientific Inc,174.68B,470.21,329.31,42.8,311.04,51.2,41
60,TJX,"TJX Companies, Inc. (The)",172.15B,154.68,92.34,67.5,58.41,164.8,29
61,TXN,Texas Instruments Incorporated,171.43B,188.29,149.26,26.1,168.24,11.9,52
62,ANET,"Arista Networks, Inc.",171.59B,136.26,82.98,64.2,74.91,81.9,44
63,ISRG,"Intuitive Surgical, Inc.",170.46B,479.93,181.68,164.2,234.25,104.9,29
64,SCHW,Charles Schwab Corporation (The,167.01B,93.99,124.6,-24.6,120.86,-22.2,69
65,APH,Amphenol Corporation,160.60B,130.65,97.44,34.1,88.8,47.1,49
66,BLK,"BlackRock, Inc.",150.81B,969.6,804.35,20.5,965.22,0.5,45
67,BA,Boeing Company (The),158.10B,201.18,249.12,-19.2,213.12,-5.6,58
68,PFE,"Pfizer, Inc.",155.92B,27.41,10.32,165.6,2.88,851.7,19
69,UBER,"Uber Technologies, Inc.",156.54B,75.34,186.41,-59.6,146.1,-48.4,83
70,COP,ConocoPhillips,154.04B,126.02,129.85,-2.9,140.92,-10.6,74
71,DE,Deere & Company,153.31B,567.58,423.2,34.1,122.88,361.9,49
72,ADI,"Analog Devices, Inc.",151.56B,310.44,181.31,71.2,207.89,49.3,44
73,APP,Applovin Corporation,148.67B,439.92,491.02,-10.4,388.87,13.1,73
74,LMT,Lockheed Martin Corporation,147.52B,637.51,538.52,18.4,565.16,12.8,54
75,HON,Honeywell International Inc.,145.59B,229.03,127.9,79.1,116.33,96.9,34
76,WELL,Welltower Inc.,143.80B,206.09,62.63,229.1,48.6,324.1,27
77,QCOM,QUALCOMM Incorporated,140.21B,131.28,61.42,113.7,70.89,85.2,12
78,ETN,"Eaton Corporation, PLC",139.91B,360.23,229.41,57.0,202.3,78.1,26
79,UNP,Union Pacific Corporation,138.96B,234.18,218.75,7.1,192.73,21.5,50
80,BX,Blackstone Inc.,138.69B,113.47,95.93,18.3,115.12,-1.4,52
81,PANW,"Palo Alto Networks, Inc.",138.51B,169.74,37.12,357.3,34.31,394.7,14
82,BKNG,Booking Holdings Inc. Common St,138.42B,4294.29,4349.16,-1.3,3391.94,26.6,51
