# Last run: 2026-03-23 11:29
#,Ticker,Name,Market Cap,Current Price,Fair Value,% vs Fair Value,Fair Price,% vs Fair Price,Score
1,NVDA,NVIDIA Corporation,4.20T,172.93,240.64,-28.1,194.51,-11.1,91
2,AAPL,Apple Inc.,3.64T,247.99,161.54,53.5,192.24,29.0,40
3,GOOG,Alphabet Inc.,3.63T,298.79,238.06,25.5,199.11,50.1,49
4,GOOGL,Alphabet Inc.,3.63T,301.0,237.95,26.5,198.45,51.7,49
5,MSFT,Microsoft Corporation,2.84T,381.85,438.57,-12.9,519.38,-26.5,73
6,AMZN,"Amazon.com, Inc.",2.20T,205.37,195.74,4.9,190.26,7.9,48
7,TSM,Taiwan Semiconductor Manufactur,1.71T,329.24,358.69,-8.2,298.77,10.2,74
8,META,"Meta Platforms, Inc.",1.50T,593.66,681.93,-12.9,668.83,-11.2,67
9,AVGO,Broadcom Inc.,1.47T,310.51,298.34,4.1,232.47,33.6,51
10,TSLA,"Tesla, Inc.",1.38T,367.96,43.31,749.6,51.55,613.8,14
11,BRK-B,Berkshire Hathaway Inc. New,1.04T,480.94,448.77,7.2,359.02,34.0,42
12,BRK-A,Berkshire Hathaway Inc.,1.04T,720702.0,673543.2,7.0,538834.56,33.8,40
13,WMT,Walmart Inc.,948.9B,119.02,58.3,104.2,59.92,98.6,10
14,LLY,Eli Lilly and Company,856.7B,906.7,835.55,8.5,961.68,-5.7,57
15,JPM,JP Morgan Chase & Co.,772.9B,286.56,364.43,-21.4,291.54,-1.7,76
16,XOM,Exxon Mobil Corporation,665.3B,159.67,148.22,7.7,166.79,-4.3,59
17,V,Visa Inc.,574.9B,301.62,230.91,30.6,277.09,8.9,53
18,JNJ,Johnson & Johnson,567.2B,235.37,198.01,18.9,164.09,43.4,53
19,ASML,ASML Holding N.V. - New York Re,507.7B,1317.25,880.8,49.6,941.77,39.9,49
20,MU,"Micron Technology, Inc.",476.9B,422.88,2479.39,-82.9,1983.55,-78.7,100
21,MA,Mastercard Incorporated,442.6B,496.32,410.77,20.8,492.92,0.7,63
22,COST,Costco Wholesale Corporation,431.4B,972.33,386.63,151.5,480.74,102.3,28
23,ORCL,Oracle Corporation,430.5B,149.68,171.77,-12.9,159.33,-6.1,72
24,CVX,Chevron Corporation,402.5B,201.73,155.85,29.4,165.88,21.6,56
25,NFLX,"Netflix, Inc.",387.7B,91.82,78.26,17.3,75.61,21.4,54
26,ABBV,AbbVie Inc.,362.6B,205.07,73.32,179.7,52.27,292.3,26
27,PLTR,Palantir Technologies Inc.,360.4B,150.68,39.84,278.2,34.8,333.0,30
28,BAC,Bank of America Corporation,338.4B,47.16,87.99,-46.4,70.39,-33.0,91
29,PG,Procter & Gamble Company (The),335.3B,144.28,100.8,43.1,109.44,31.8,48
30,AMD,"Advanced Micro Devices, Inc.",328.2B,201.33,160.38,25.5,196.09,2.7,49
31,KO,Coca-Cola Company (The),321.5B,74.75,51.86,44.1,54.77,36.5,49
32,HD,"Home Depot, Inc. (The)",319.5B,320.75,234.01,37.1,207.05,54.9,42
33,CAT,"Caterpillar, Inc.",316.8B,680.88,553.33,23.1,368.02,85.0,49
